student_id,registration_number,full_name,gender,date_of_birth,cnic,city,province,email,phone,university,campus,degree_program,degree_code,batch_year,total_credits,total_quality_points,cgpa
1,2019-BS-AI-0001,Ahmed Butt,Male,2000-09-30,13905-2571945-3,Rawalpindi,Punjab,ahmed.butt1@student.university.pk,03183197857,National University of Computer and Emerging Sciences,South Campus,BS Artificial Intelligence,BS-AI,2019,129,409.8,3.18
2,2020-BS-AI-0002,Ahmed Qureshi,Male,2006-01-11,65392-6708456-4,Faisalabad,Punjab,ahmed.qureshi2@student.university.pk,03789089901,National University of Sciences and Technology,Main Campus,BS Artificial Intelligence,BS-AI,2020,131,435.5,3.32
3,2019-BS-AI-0003,Salman Rana,Male,1999-02-23,70217-9996414-1,Lahore,Balochistan,salman.rana3@student.university.pk,03158181396,National University of Sciences and Technology,North Campus,BS Artificial Intelligence,BS-AI,2019,120,411.6,3.43
4,2021-BS-AI-0004,Zainab Chaudhry,Female,2007-04-21,20458-4905582-1,Quetta,Islamabad Capital Territory,zainab.chaudhry4@student.university.pk,03319335534,National University of Computer and Emerging Sciences,City Campus,BS Artificial Intelligence,BS-AI,2021,118,413.2,3.5
5,2019-BS-AI-0005,Khadija Ilyas,Female,2005-02-16,89840-3871230-8,Quetta,Punjab,khadija.ilyas5@student.university.pk,03557683626,COMSATS University Islamabad,North Campus,BS Artificial Intelligence,BS-AI,2019,128,433.8,3.39
6,2019-BS-AI-0006,Usman Ilyas,Male,2002-04-04,51347-7730428-4,Peshawar,Islamabad Capital Territory,usman.ilyas6@student.university.pk,03353524491,National University of Computer and Emerging Sciences,City Campus,BS Artificial Intelligence,BS-AI,2019,111,357.5,3.22
7,2020-BS-AI-0007,Salman Rana,Male,2000-05-20,83579-5408072-9,Multan,Balochistan,salman.rana7@student.university.pk,03729175900,National University of Sciences and Technology,City Campus,BS Artificial Intelligence,BS-AI,2020,125,400.90000000000003,3.21
8,2020-BS-AI-0008,Aimen Shaikh,Female,2000-06-17,92240-3684052-6,Islamabad,Islamabad Capital Territory,aimen.shaikh8@student.university.pk,03722201654,National University of Computer and Emerging Sciences,Main Campus,BS Artificial Intelligence,BS-AI,2020,106,349.7,3.3
9,2021-BS-AI-0009,Fahad Yousaf,Male,2004-09-06,94012-6707197-1,Multan,Islamabad Capital Territory,fahad.yousaf9@student.university.pk,03484252722,National University of Computer and Emerging Sciences,Main Campus,BS Artificial Intelligence,BS-AI,2021,126,403.5,3.2
10,2021-BS-AI-0010,Anum Raza,Female,2003-02-02,93748-9517169-9,Karachi,KPK,anum.raza10@student.university.pk,03833978249,University of Karachi,Main Campus,BS Artificial Intelligence,BS-AI,2021,119,406.5,3.42
11,2022-BS-AI-0011,Hussain Shaikh,Male,2006-07-21,12552-2876828-5,Islamabad,Islamabad Capital Territory,hussain.shaikh11@student.university.pk,03810076758,University of Karachi,North Campus,BS Artificial Intelligence,BS-AI,2022,112,379.3,3.39
12,2020-BS-AI-0012,Maryam Malik,Female,2000-09-13,96474-8973915-8,Lahore,Sindh,maryam.malik12@student.university.pk,03719289546,University of Karachi,City Campus,BS Artificial Intelligence,BS-AI,2020,114,374.3,3.28
13,2022-BS-AI-0013,Saad Javed,Male,2000-05-17,25860-5159166-3,Rawalpindi,KPK,saad.javed13@student.university.pk,03697225156,National University of Sciences and Technology,South Campus,BS Artificial Intelligence,BS-AI,2022,105,352.2,3.35
14,2020-BS-AI-0014,Danish Khan,Male,2004-08-06,18834-1527021-5,Rawalpindi,Islamabad Capital Territory,danish.khan14@student.university.pk,03310965138,National University of Computer and Emerging Sciences,Main Campus,BS Artificial Intelligence,BS-AI,2020,112,378.9,3.38
15,2020-BS-AI-0015,Bilal Butt,Male,2005-07-03,71993-7829332-3,Multan,Punjab,bilal.butt15@student.university.pk,03827758595,University of Lahore,South Campus,BS Artificial Intelligence,BS-AI,2020,117,393.7,3.36
